"x"
"1"	"ENSDNOG00000042816"
"2"	"ENSDNOG00000043683"
"3"	"ENSDNOG00000018035"
"4"	"ENSDNOG00000036192"
"5"	"ENSDNOG00000027861"
"6"	"ENSDNOG00000038783"
"7"	"ENSDNOG00000001330"
"8"	"ENSDNOG00000041739"
"9"	"ENSDNOG00000017312"
"10"	"ENSDNOG00000039920"
"11"	"ENSDNOG00000014670"
"12"	"ENSDNOG00000051306"
"13"	"ENSDNOG00000029010"
"14"	"ENSDNOG00000033048"
"15"	"ENSDNOG00000052475"
"16"	"ENSDNOG00000012475"
"17"	"ENSDNOG00000047392"
"18"	"ENSDNOG00000013180"
"19"	"ENSDNOG00000031550"
"20"	"ENSDNOG00000035720"
"21"	"ENSDNOG00000030653"
"22"	"ENSDNOG00000043098"
"23"	"ENSDNOG00000038647"
"24"	"ENSDNOG00000018531"
"25"	"ENSDNOG00000018525"
"26"	"ENSDNOG00000018518"
"27"	"ENSDNOG00000015648"
"28"	"ENSDNOG00000046432"
"29"	"ENSDNOG00000030564"
"30"	"ENSDNOG00000000495"
"31"	"ENSDNOG00000046705"
"32"	"ENSDNOG00000015535"
"33"	"ENSDNOG00000037552"
"34"	"ENSDNOG00000034384"
"35"	"ENSDNOG00000025046"
"36"	"ENSDNOG00000030738"
"37"	"ENSDNOG00000047624"
"38"	"ENSDNOG00000050574"
"39"	"ENSDNOG00000036282"
"40"	"ENSDNOG00000013892"
"41"	"ENSDNOG00000046867"
"42"	"ENSDNOG00000041087"
"43"	"ENSDNOG00000041608"
"44"	"ENSDNOG00000013822"
"45"	"ENSDNOG00000019786"
"46"	"ENSDNOG00000030709"
"47"	"ENSDNOG00000048922"
"48"	"ENSDNOG00000047580"
"49"	"ENSDNOG00000047390"
"50"	"ENSDNOG00000015538"
"51"	"ENSDNOG00000024272"
"52"	"ENSDNOG00000032119"
"53"	"ENSDNOG00000019478"
"54"	"ENSDNOG00000042167"
"55"	"ENSDNOG00000016197"
"56"	"ENSDNOG00000018952"
"57"	"ENSDNOG00000026308"
"58"	"ENSDNOG00000004256"
"59"	"ENSDNOG00000039191"
"60"	"ENSDNOG00000044661"
"61"	"ENSDNOG00000043391"
"62"	"ENSDNOG00000010843"
"63"	"ENSDNOG00000046397"
"64"	"ENSDNOG00000039511"
"65"	"ENSDNOG00000026527"
"66"	"ENSDNOG00000038605"
"67"	"ENSDNOG00000033929"
"68"	"ENSDNOG00000046309"
"69"	"ENSDNOG00000038796"
"70"	"ENSDNOG00000041655"
"71"	"ENSDNOG00000015771"
"72"	"ENSDNOG00000031225"
"73"	"ENSDNOG00000014867"
"74"	"ENSDNOG00000046346"
"75"	"ENSDNOG00000019937"
"76"	"ENSDNOG00000034157"
"77"	"ENSDNOG00000050708"
"78"	"ENSDNOG00000008447"
"79"	"ENSDNOG00000011495"
"80"	"ENSDNOG00000049521"
"81"	"ENSDNOG00000041074"
"82"	"ENSDNOG00000043973"
"83"	"ENSDNOG00000044877"
"84"	"ENSDNOG00000043023"
"85"	"ENSDNOG00000034628"
"86"	"ENSDNOG00000033663"
"87"	"ENSDNOG00000014903"
"88"	"ENSDNOG00000032060"
"89"	"ENSDNOG00000051201"
"90"	"ENSDNOG00000009828"
"91"	"ENSDNOG00000009802"
"92"	"ENSDNOG00000011333"
"93"	"ENSDNOG00000032718"
"94"	"ENSDNOG00000045836"
"95"	"ENSDNOG00000005799"
"96"	"ENSDNOG00000039744"
"97"	"ENSDNOG00000026818"
"98"	"ENSDNOG00000029547"
"99"	"ENSDNOG00000038287"
"100"	"ENSDNOG00000030811"
"101"	"ENSDNOG00000040676"
"102"	"ENSDNOG00000044185"
"103"	"ENSDNOG00000047408"
"104"	"ENSDNOG00000043218"
"105"	"ENSDNOG00000048049"
"106"	"ENSDNOG00000036632"
"107"	"ENSDNOG00000007765"
"108"	"ENSDNOG00000052215"
"109"	"ENSDNOG00000031836"
"110"	"ENSDNOG00000004317"
"111"	"ENSDNOG00000036264"
"112"	"ENSDNOG00000050486"
"113"	"ENSDNOG00000026905"
"114"	"ENSDNOG00000000377"
"115"	"ENSDNOG00000051622"
"116"	"ENSDNOG00000050299"
"117"	"ENSDNOG00000047108"
"118"	"ENSDNOG00000028574"
"119"	"ENSDNOG00000047736"
"120"	"ENSDNOG00000039817"
"121"	"ENSDNOG00000036816"
"122"	"ENSDNOG00000004195"
"123"	"ENSDNOG00000034583"
"124"	"ENSDNOG00000007596"
"125"	"ENSDNOG00000041520"
"126"	"ENSDNOG00000038531"
"127"	"ENSDNOG00000052819"
"128"	"ENSDNOG00000051909"
"129"	"ENSDNOG00000007684"
"130"	"ENSDNOG00000047212"
"131"	"ENSDNOG00000031852"
"132"	"ENSDNOG00000039372"
"133"	"ENSDNOG00000047445"
"134"	"ENSDNOG00000052569"
"135"	"ENSDNOG00000008056"
"136"	"ENSDNOG00000028432"
"137"	"ENSDNOG00000043178"
"138"	"ENSDNOG00000043183"
"139"	"ENSDNOG00000004689"
"140"	"ENSDNOG00000033821"
"141"	"ENSDNOG00000040421"
"142"	"ENSDNOG00000011705"
"143"	"ENSDNOG00000031314"
"144"	"ENSDNOG00000024619"
"145"	"ENSDNOG00000038724"
"146"	"ENSDNOG00000019698"
"147"	"ENSDNOG00000019699"
"148"	"ENSDNOG00000035393"
"149"	"ENSDNOG00000019704"
"150"	"ENSDNOG00000050525"
"151"	"ENSDNOG00000031736"
"152"	"ENSDNOG00000031930"
"153"	"ENSDNOG00000006568"
"154"	"ENSDNOG00000052732"
"155"	"ENSDNOG00000049647"
"156"	"ENSDNOG00000005103"
"157"	"ENSDNOG00000051567"
"158"	"ENSDNOG00000038209"
"159"	"ENSDNOG00000041965"
"160"	"ENSDNOG00000039219"
"161"	"ENSDNOG00000042569"
"162"	"ENSDNOG00000006875"
"163"	"ENSDNOG00000048650"
"164"	"ENSDNOG00000050454"
"165"	"ENSDNOG00000039469"
