"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"1"	0	1.12796532825243	0.996	0.861	0	"CD8+ Treg"	"ENSDNOG00000046040"
"2"	0	1.05327442501205	1	0.998	0	"CD8+ Treg"	"ENSDNOG00000043192"
"3"	0	0.944344769107637	1	1	0	"CD8+ Treg"	"ENSDNOG00000038381"
"4"	0	0.930971706869869	1	0.914	0	"CD8+ Treg"	"ENSDNOG00000038861"
"5"	0	0.716086340338186	0.998	0.907	0	"CD8+ Treg"	"ENSDNOG00000035272"
"6"	0	0.666391734317053	0.999	0.922	0	"CD8+ Treg"	"ENSDNOG00000048375"
"7"	0	0.513293061096114	0.999	0.916	0	"CD8+ Treg"	"ENSDNOG00000046057"
"8"	0	0.447451355443899	0.994	0.956	0	"CD8+ Treg"	"ENSDNOG00000047119"
"9"	0	0.37690176125176	0.953	0.69	0	"CD8+ Treg"	"ENSDNOG00000051662"
"10"	0	0.326063935160782	0.999	0.964	0	"CD8+ Treg"	"ENSDNOG00000025294"
"11"	0	0.277782160195835	0.999	0.949	0	"CD8+ Treg"	"ENSDNOG00000047109"
"12"	3.10055633506889e-281	0.37849770036061	1	1	1.55027816753444e-277	"CD8+ Treg"	"ENSDNOG00000036774"
"13"	5.58192045015551e-239	0.318871379798249	1	0.999	2.79096022507776e-235	"CD8+ Treg"	"ENSDNOG00000034167"
"14"	4.73250569646141e-235	0.316939566342785	0.999	0.944	2.36625284823071e-231	"CD8+ Treg"	"ENSDNOG00000038558"
"15"	2.65506830035103e-219	0.432463480163162	0.955	0.904	1.32753415017551e-215	"CD8+ Treg"	"ENSDNOG00000032504"
"16"	2.33616873639683e-175	0.505376337724464	0.836	0.633	1.16808436819841e-171	"CD8+ Treg"	"ENSDNOG00000016767"
"17"	1.1480081882815e-172	0.489999796072405	0.909	0.776	5.74004094140751e-169	"CD8+ Treg"	"ENSDNOG00000010869"
"18"	2.09179782712787e-58	2.9972877666036	0.82	0.82	1.04589891356393e-54	"CD8+ Treg"	"ENSDNOG00000041090"
"19"	3.43214432673487e-56	0.465655981376224	0.601	0.452	1.71607216336744e-52	"CD8+ Treg"	"ENSDNOG00000031131"
"20"	5.361414619924e-42	0.997166099709563	0.683	0.779	2.680707309962e-38	"CD8+ Treg"	"ENSDNOG00000044231"
