	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:170	GO:170	E2F4_MELCELLLINE_MM9	150/3693	356/12202	9.81680644302816e-07	9.914974507458441e-05	7.0267667171149e-05		150
GO:224	GO:224	FOXM1_ECC1_HG19	151/3693	372/12202	1.1074381830952999e-05	0.000559256282463125	0.00039634629710779		151
GO:390	GO:390	PAX5_GM12892_HG19	116/3693	288/12202	0.000162607536245356	0.005132584759250479	0.0036374753895678296		116
GO:362	GO:362	NFIC_ECC1_HG19	160/3693	418/12202	0.00022622146404290298	0.005132584759250479	0.0036374753895678296		160
GO:361	GO:361	NFE2_K562_HG19	79/3693	186/12202	0.000254088354418341	0.005132584759250479	0.0036374753895678296		79
GO:182	GO:182	EGR1_MCF7_HG19	179/3693	478/12202	0.00036436072827747797	0.0061334055926708705	0.00434675956541552		179
GO:513	GO:513	TEAD4_SKNSH_HG19	112/3693	284/12202	0.000539074303518059	0.00777807209361772	0.00551233874274106		112
GO:32	GO:32	CEBPB_GM12878_HG19	130/3693	343/12202	0.00130887501003651	0.015360624105023	0.0108861119243519		130
GO:226	GO:226	FOXM1_MCF7_HG19	46/3693	103/12202	0.0013687684846060099	0.015360624105023	0.0108861119243519		46
GO:400	GO:400	RELA_GM12878_HG19	161/3693	437/12202	0.0015919644826422	0.015924924773705	0.0112860331903277		161
GO:288	GO:288	KEAP1	157/3693	426/12202	0.00177872240125897	0.015924924773705	0.0112860331903277		157
GO:160	GO:160	CUL2	67/3693	163/12202	0.0019988080603102103	0.015924924773705	0.0112860331903277		67
GO:44	GO:44	CNPPD1	110/3693	288/12202	0.00220119476864167	0.015924924773705	0.0112860331903277		110
GO:261	GO:261	HSF1_HEPG2_HG19	59/3693	141/12202	0.00220741531516703	0.015924924773705	0.0112860331903277		59
GO:211	GO:211	FOSL1_C2C12_MM9	64/3693	156/12202	0.00262447140052327	0.0165989282483844	0.0117637011035971		64
GO:459	GO:459	SREBF1_HEPG2_HG19	118/3693	313/12202	0.00262953318786288	0.0165989282483844	0.0117637011035971		118
GO:471	GO:471	STAT1_K562_HG19	84/3693	214/12202	0.0029174969491376802	0.0173333642272298	0.0122841976805797		84
GO:40	GO:40	CEBPB_MYOCYTE_MM9	145/3693	395/12202	0.0030940953368023	0.0173613127231685	0.0123040048481027		145
GO:163	GO:163	DDX18	111/3693	296/12202	0.00419577752515741	0.0223038700021526	0.0158068072969919		111
GO:405	GO:405	RELA_GM18526_HG19	175/3693	495/12202	0.007383406498080371	0.0361399183838413	0.0256124486722377		175
GO:17	GO:17	BATF_GM12878_HG19	122/3693	334/12202	0.00751424045604621	0.0361399183838413	0.0256124486722377		122
GO:26	GO:26	BRCA1	139/3693	386/12202	0.00798164384368463	0.0366430012823703	0.025968984754572003		139
GO:435	GO:435	RXRA_HEPG2_HG19	101/3693	274/12202	0.0105957492620689	0.0465291598029982	0.0329753295112441		101
GO:477	GO:477	STAT5A_K562_HG19	45/3693	111/12202	0.0132675520677577	0.0558342816184805	0.0395698921319091		45
GO:436	GO:436	RXRA_SKNSH_HG19	33/3693	78/12202	0.0157712350385134	0.0637157895555941	0.0451555361102699		33
GO:433	GO:433	RXRA_GM12878_HG19	69/3693	183/12202	0.0180924887120216	0.0702823599966993	0.0498092806646748		69
GO:420	GO:420	REST_NEURALCELL_HG19	172/3693	499/12202	0.0216962945608988	0.0811602129870659	0.0575184417209013		172
GO:326	GO:326	MEF2C_GM12878_HG19	34/3693	83/12202	0.0243754033644174	0.0879255621359343	0.0623130612323453		34
GO:34	GO:34	CEBPB_HCT116_HG19	68/3693	184/12202	0.0296439172221955	0.10291861191232199	0.0729386723297328		68
GO:434	GO:434	RXRA_H1HESC_HG19	29/3693	70/12202	0.0305698847264321	0.10291861191232199	0.0729386723297328		29
GO:42	GO:42	CEBPD_K562_HG19	140/3693	405/12202	0.0324058624182427	0.10558039045943599	0.0748250813052802		140
GO:507	GO:507	TEAD4_A549_HG19	91/3693	258/12202	0.0459123532433454	0.144910864924309	0.10269868488643		91
GO:437	GO:437	SERGEF	137/3693	401/12202	0.0482861590870015	0.147784911145065	0.104735528482172		137
GO:16	GO:16	BACH2	107/3693	309/12202	0.0530206747977123	0.15750259278144	0.111622473258342		107
GO:247	GO:247	GATA2_G1E_MM9	85/3693	244/12202	0.0681858844950352	0.19147964643576898	0.135702094399503		85
GO:274	GO:274	JUND_A549_HG19	137/3693	406/12202	0.0682501710068086	0.19147964643576898	0.135702094399503		137
GO:216	GO:216	FOSL2_HEPG2_HG19	63/3693	177/12202	0.07202146741562798	0.19340513744894897	0.137066694596441		63
GO:498	GO:498	TCF12_SKNSH_HG19	164/3693	492/12202	0.0727662893372282	0.19340513744894897	0.137066694596441		164
GO:219	GO:219	FOXA1_ECC1_HG19	99/3693	290/12202	0.0835980301119447	0.2164974625976	0.15343228198683498		99
GO:260	GO:260	HNF4G_HEPG2_HG19	132/3693	394/12202	0.0868325420699225	0.21925216872655398	0.15538454896723		132
GO:212	GO:212	FOSL1_H1HESC_HG19	49/3693	137/12202	0.0953925309459649	0.233109984039428	0.16520561661991698		49
GO:340	GO:340	MYB_MELCELLLINE_MM9	146/3693	440/12202	0.0969368250460986	0.233109984039428	0.16520561661991698		146
GO:251	GO:251	GATA3_A549_HG19	67/3693	193/12202	0.10174508155695401	0.23898263342447304	0.169367577622347		67
GO:397	GO:397	PTPRE	141/3693	426/12202	0.107736391495967	0.24730398957028799	0.175264943103487		141
GO:243	GO:243	GATA1_K562_HG19	144/3693	437/12202	0.117146822951437	0.26292953595767105	0.186338806098193		144
GO:356	GO:356	MYOG_C2C12_MM9	65/3693	190/12202	0.133216220560382	0.29249648427388203	0.20729297478503397		65
GO:4	GO:4	ASF1A	91/3693	272/12202	0.137820469230771	0.29580133092550703	0.20963512770124498		91
GO:550	GO:550	ZBTB33_K562_HG19	152/3693	466/12202	0.141218399397965	0.29580133092550703	0.20963512770124498		152
GO:464	GO:464	SRF_HCT116_HG19	87/3693	260/12202	0.143507576389602	0.29580133092550703	0.20963512770124498		87
GO:328	GO:328	MOB3B	83/3693	248/12202	0.149483568448574	0.30195680826612	0.21399752956848497		83
GO:365	GO:365	NFIC_SKNSH_HG19	129/3693	395/12202	0.159446797097174	0.31088934933662704	0.22032804330266398		129
GO:1	GO:1	AFF1	101/3693	306/12202	0.160061843222818	0.31088934933662704	0.22032804330266398		101
GO:327	GO:327	MIR4664	43/3693	124/12202	0.164181700063572	0.31287456049850604	0.22173496731525197		43
GO:325	GO:325	MEF2A_K562_HG19	57/3693	168/12202	0.169245321944029	0.316551435487907	0.224340777625614		57
GO:266	GO:266	IRF3_HEPG2_HG19	160/3693	496/12202	0.174362666808595	0.320193260866693	0.22692174819109		160
GO:416	GO:416	REST_HL60_HG19	31/3693	88/12202	0.183172579128176	0.324793680339519	0.23018207673879396		31
GO:218	GO:218	FOSL2_SKNSH_HG19	88/3693	267/12202	0.183299403755966	0.324793680339519	0.23018207673879396		88
GO:19	GO:19	BCL11A_H1HESC_HG19	24/3693	67/12202	0.193859966399339	0.33758373459195196	0.23924641951279602		24
GO:472	GO:472	STAT2_K562_HG19	55/3693	164/12202	0.20163809035917002	0.345177069936885	0.244627834869288		55
GO:199	GO:199	ESRRA_HEPG2_HG19	26/3693	74/12202	0.213650225747175	0.35753707949525604	0.253387403915346		26
GO:282	GO:282	JUND_MCF7_HG19	49/3693	146/12202	0.21593823613079802	0.35753707949525604	0.253387403915346		49
GO:299	GO:299	MAFK_MELCELLLINE_MM9	140/3693	437/12202	0.220550847207743	0.359284444644872	0.25462576587651203		140
